Receiving Facility Name,Town,State,Zip Code,Population,Suburb?,2011 Av AGI,Av US AGI 2011,Local/US AGI Index,City Unemp Rate 6/14,State ,US 2011 Unemp,Unemplotment Indexed to State,Unemployment Indexed to National,Percent Blue Collar,Latitude,Longitude,,
Advanced Chemical Company,Warwick,Rhode Island,02888,81971,1,"52,183","60,894",0.8569,0.0640,0.0710,0.0610,0.9014,1.0492,0.3500,41.764283,-71.400233,,
Safety-Kleen Systems Inc,Linden,New Jersey,07036,41301,1,"44,713","60,894",0.7343,0.0720,0.0640,0.0610,1.1250,1.1803,0.4600,40.613677,-74.252037,,
Tulip Corporation,Niagara Falls,New York,14305,50145,0,"35,647","60,894",0.5854,0.0780,0.0650,0.0610,1.2000,1.2787,0.4800,43.1161713,-79.0476353,,
Sabin Metal Corporation,Scottsville,New York,14546,1998,0,"52,714","60,894",0.8657,0.0580,0.0650,0.0610,0.8923,0.9508,0.3600,43.0045891,-77.8193665,,
Inmetco,Ellwood City,Pennsylvania,16117,7744,0,"43,530","60,894",0.7148,0.0650,0.0580,0.0610,1.1207,1.0656,0.4800,40.8574267,-80.270097,,
Keystone Cement Company,Bath,Pennsylvania,18014,2680,0,"50,015","60,894",0.8213,0.0630,0.0580,0.0610,1.0862,1.0328,0.5300,40.7579002,-75.4184265,,
Horsehead Corp,Palmerton,Pennsylvania,18071,5421,0,"44,320","60,894",0.7278,0.0630,0.0580,0.0610,1.0862,1.0328,0.5100,40.808923,-75.5931251,,
Metallix Refining Inc.,Greenville,North Carolina,27834,89130,0,"38,090","60,894",0.6255,0.0630,0.0650,0.0610,0.9692,1.0328,0.3800,35.6463547,-77.3623962,,
Giant Resource Recovery - Sumter Inc,Sumter,South Carolina,29150,41190,0,"38,096","60,894",0.6256,0.0480,0.0650,0.0610,0.7385,0.7869,0.4500,33.9066618,-80.3315498,,
Giant Resource Recovery - Attalla Inc,Attalla,Alabama,35954,5980,0,"32,757","60,894",0.5379,0.0710,0.0710,0.0610,1.0000,1.1639,0.5900,34.0840454,-86.0243683,,
KW Plastics,Troy,Alabama,36079,18919,0,"41,858","60,894",0.6874,0.0730,0.0710,0.0610,1.0282,1.1967,0.4500,31.7253157,-86.1514793,,
